Using specified device: cuda:0
[LSTM] 参数量: 218,527

>>> Run 1/3  [LSTM]  开始训练...
| epoch  49 |  16.9s | loss 0.0959 | mae 0.0926 | rmse 0.5341 | da 0.5090 | tda 0.5085 | ic 0.0197 | icir 0.3767
| epoch  50 |  18.0s | loss 0.0956 | mae 0.0927 | rmse 0.5354 | da 0.5091 | tda 0.5080 | ic 0.0163 | icir 0.3073
Run 3 Final Test [LSTM]: MAE 0.1128 | RMSE 0.7178 | DA 0.5053 | tDA 0.5079 | IC 0.0066 | ICIR 0.1139

=======================================================
[LSTM]  Summary over 3 runs
=======================================================
Metric     | Mean       | Std       
--------------------------------------
MAE        | 0.1121     | 0.0011    
RMSE       | 0.7135     | 0.0065    
DA         | 0.5060     | 0.0005    
TDA        | 0.5088     | 0.0008    
IC         | 0.0117     | 0.0037    
ICIR       | 0.2019     | 0.0638    
=======================================================

[导出] 核心指标已写入 output/latest_metrics_lstm.json

